Step	Training Loss
10	3.463000
20	3.423500
30	3.436400
40	3.447700
50	3.502200
60	3.491000
70	3.430900
80	3.431200
90	3.419900
100	3.510800
110	3.359800
120	3.388100
130	3.401300
140	3.428000
150	3.362500
160	3.439700
170	3.439700
180	3.453800
190	3.406200
200	3.387500
210	3.404800
220	3.481900
230	3.503700
240	3.396400
250	3.567600
260	3.504000
270	3.440700
280	3.529600
290	3.401700
300	3.391900
310	3.369200
320	3.446900
330	3.386200
340	3.448100
350	3.352300
360	3.484400
370	3.401400
380	3.366300
390	3.451500
400	3.483800
410	3.405400
420	3.320900
430	3.391200
440	3.464300
450	3.380800
460	3.407900
470	3.381900
480	3.385800
490	3.422200
500	3.408500
510	3.427200
520	3.436900
530	3.380100
540	3.418600
550	3.403900
560	3.439800
570	3.454600
580	3.340700
590	3.424300
600	3.469300
610	3.381700
620	3.359200
630	3.370800
640	3.443400
650	3.419900
660	3.424400
670	3.410400
680	3.404000
690	3.365800
700	3.377500
710	3.401000
720	3.434000
730	3.492500
740	3.376900
750	3.335400
760	3.331800
770	3.414100
780	3.334500
790	3.310100
800	3.435100
810	3.363000
820	3.424500
830	3.361900
840	3.329100
850	3.360600
860	3.347600
870	3.414400
880	3.412800
890	3.449300
900	3.421400
910	3.368200
920	3.417700
930	3.384200
940	3.344400
950	3.249000
960	3.384700
970	3.369000
980	3.334800
990	3.461400
1000	3.418800
1010	3.385300
1020	3.421800
1030	3.393800
1040	3.361900
1050	3.366100
1060	3.364700
1070	3.312900
1080	3.383900
1090	3.369200
1100	3.442100
1110	3.445200
1120	3.441300
1130	3.422700
1140	3.375400
1150	3.339300
1160	3.478300
1170	3.370100
1180	3.415600
1190	3.386000
1200	3.350300
1210	3.432200
1220	3.338200
1230	3.340500
1240	3.336100
1250	3.311500
1260	3.352700
1270	3.337000
1280	3.398100
1290	3.369100
1300	3.356600
1310	3.444000
1320	3.399000
1330	3.328100
1340	3.355400
1350	3.328100
1360	3.372700
1370	3.383900
1380	3.383300
1390	3.366400
1400	3.391000
1410	3.394700
1420	3.389300
1430	3.363100
1440	3.385200
1450	3.410900
1460	3.478800
1470	3.366500
1480	3.405200
1490	3.359700
1500	3.414600
1510	3.382000
1520	3.359300
1530	3.389400
1540	3.348600
1550	3.399800
1560	3.326100
1570	3.343400
1580	3.318400
1590	3.323300
1600	3.398000
1610	3.279300
1620	3.351100
1630	3.381800
1640	3.370500
1650	3.336200
1660	3.359800
1670	3.327400
1680	3.376600
1690	3.410700
1700	3.426400
1710	3.335300
1720	3.393900
1730	3.463600
1740	3.399400
1750	3.349600
1760	3.255300
1770	3.392700
1780	3.352100
1790	3.337300
1800	3.285300
1810	3.289700
1820	3.375200
1830	3.367000
1840	3.360700
1850	3.342900
1860	3.319700
1870	3.417200
1880	3.368800
1890	3.351200
1900	3.312800
1910	3.323600
1920	3.352500
1930	3.525600
1940	3.383100
1950	3.355600
1960	3.375400
1970	3.452100
1980	3.375400
1990	3.348500
2000	3.410500
2010	3.349100
2020	3.394800
2030	3.392200
2040	3.376000
2050	3.335700
2060	3.306800
2070	3.395300
2080	3.320500
2090	3.294800
2100	3.329300
2110	3.361900
2120	3.281800
2130	3.394900
2140	3.403500
2150	3.356100
2160	3.402300
2170	3.340800
2180	3.328000
2190	3.282700
2200	3.386100
2210	3.352300
2220	3.333000
2230	3.306200
2240	3.379900
2250	3.410800
2260	3.372800
2270	3.293700
2280	3.347900
2290	3.399800
2300	3.372500
2310	3.413500
2320	3.338400
2330	3.410900
2340	3.209800
2350	3.296600
2360	3.365100
2370	3.338400
2380	3.340300
2390	3.330500
2400	3.283600
2410	3.297200
2420	3.347500
2430	3.410400
2440	3.331500
2450	3.365900
2460	3.342000
2470	3.411100
2480	3.361300
2490	3.349400
2500	3.334500
2510	3.297300
2520	3.338700
2530	3.339200
2540	3.306600
2550	3.283700
2560	3.337400
2570	3.333800
2580	3.339100
2590	3.269800
2600	3.387200
2610	3.306500
2620	3.309800
2630	3.322500
2640	3.397400
2650	3.284300
2660	3.351500
2670	3.286900
2680	3.303200
2690	3.379000
2700	3.347300
2710	3.283800
2720	3.315400
2730	3.336200
2740	3.309200
2750	3.305800
2760	3.386500
2770	3.376800
2780	3.287800
2790	3.366400
2800	3.367400
2810	3.304800
2820	3.344400
2830	3.281800
2840	3.367200
2850	3.278800
2860	3.371000
2870	3.263200
2880	3.386300
2890	3.308300
2900	3.241800
2910	3.256600
2920	3.347200
2930	3.410000
2940	3.229500
2950	3.377500
2960	3.273400
2970	3.359800
2980	3.289000
2990	3.362000
3000	3.307300
3010	3.333200
3020	3.304600
3030	3.338200
3040	3.314000
3050	3.381300
3060	3.397200
3070	3.314500
3080	3.354600
3090	3.323800
3100	3.253800
3110	3.331500
3120	3.354200
3130	3.202700
3140	3.091600
3150	3.111900
3160	3.098900
3170	3.184800
3180	3.235000
3190	3.088100
3200	3.098100
3210	3.145200
3220	3.028200
3230	3.145500
3240	3.150500
3250	3.142200
3260	3.090700
3270	3.116000
3280	3.136500
3290	3.129700
3300	3.103900
3310	3.107500
3320	3.077300
3330	3.103700
3340	3.101900
3350	3.123800
3360	3.102600
3370	3.059700
3380	3.144300
3390	3.065900
3400	3.111800
3410	3.110700
3420	3.057300
3430	3.128100
3440	3.063900
3450	3.191500
3460	3.101300
3470	3.138500
3480	3.151000
3490	3.064200
3500	3.159400
3510	3.127200
3520	3.123900
3530	3.137500
3540	3.042400
3550	3.126500
3560	3.134800
3570	3.095100
3580	3.147100
3590	3.089300
3600	3.104000
3610	3.201300
3620	3.088100
3630	3.172500
3640	3.211500
3650	3.122100
3660	3.133200
3670	3.161000
3680	3.060500
3690	3.115100
3700	3.210900
3710	3.146300
3720	3.163700
3730	3.117900
3740	3.102200
3750	3.114300
3760	3.072000
3770	3.095100
3780	3.068700
3790	3.153300
3800	3.093900
3810	3.146000
3820	3.133700
3830	3.161000
3840	3.069700
3850	3.171100
3860	3.123100
3870	3.150800
3880	3.137300
3890	3.060300
3900	3.122800
3910	3.181700
3920	3.161900
3930	3.242700
3940	3.141300
3950	3.125200
3960	3.211900
3970	3.158100
3980	3.187200
3990	3.173000
4000	3.106400
4010	3.230400
4020	3.076300
4030	3.164100
4040	3.110500
4050	3.177200
4060	3.085100
4070	3.108100
4080	3.076300
4090	3.214800
4100	3.148300
4110	3.145800
4120	3.108400
4130	3.135700
4140	3.149800
4150	3.087200
4160	3.139300
4170	3.191700
4180	2.995400
4190	3.114200
4200	3.169800
4210	3.163200
4220	3.176900
4230	3.142000
4240	3.133500
4250	3.096000
4260	3.130600
4270	3.141200
4280	3.149200
4290	3.094400
4300	3.242600
4310	3.185500
4320	3.166400
4330	3.080400
4340	3.121700
4350	3.147400
4360	3.147100
4370	3.097700
4380	3.120000
4390	3.114300
4400	3.209300
4410	3.061400
4420	3.179700
4430	3.095500
4440	3.146600
4450	3.122000
4460	3.115800
4470	3.129700
4480	3.139000
4490	3.132400
4500	3.193000
4510	3.114100
4520	3.148300
4530	3.162800
4540	3.143000
4550	3.068800
4560	3.056200
4570	3.141200
4580	3.113700
4590	3.218100
4600	3.153100
4610	3.086300
4620	3.151700
4630	3.112300
4640	3.124100
4650	3.117200
4660	3.130700
4670	3.094800
4680	3.106200
4690	3.113200
4700	3.196000
4710	3.208100
4720	3.143500
4730	3.143700
4740	3.158000
4750	3.177100
4760	3.111500
4770	3.130000
4780	3.076800
4790	3.110900
4800	3.065900
4810	3.139000
4820	3.172900
4830	3.152900
4840	3.116800
4850	3.144000
4860	3.191600
4870	3.135100
4880	3.129000
4890	3.088900
4900	3.153500
4910	3.163600
4920	3.130000
4930	3.107000
4940	3.046500
4950	3.122200
4960	3.126100
4970	3.128200
4980	3.148000
4990	3.178200
5000	3.111700
5010	3.134900
5020	3.148500
5030	3.063300
5040	3.142000
5050	3.099200
5060	3.145100
5070	3.196200
5080	3.101600
5090	3.050300
5100	3.165000
5110	3.152900
5120	3.082800
5130	3.159200
5140	3.183600
5150	3.158900
5160	3.131700
5170	3.124500
5180	3.142800
5190	3.135800
5200	3.045900
5210	3.130300
5220	3.139000
5230	3.106800
5240	3.161000
5250	3.059500
5260	3.145600
5270	3.097100
5280	3.101600
5290	3.105300
5300	3.109400
5310	3.040300
5320	3.149700
5330	3.112800
5340	3.154100
5350	3.090200
5360	3.164900
5370	3.171300
5380	3.213000
5390	3.069100
5400	3.100800
5410	3.176900
5420	3.125900
5430	3.132200
5440	3.045000
5450	3.135500
5460	3.248600
5470	3.124400
5480	3.119900
5490	3.117300
5500	3.138900
5510	3.116700
5520	3.143600
5530	3.186500
5540	3.162000
5550	3.131100
5560	3.168300
5570	3.136000
5580	3.189200
5590	3.127900
5600	3.179700
5610	3.148800
5620	3.171300
5630	3.170800
5640	3.174800
5650	3.122600
5660	3.045200
5670	3.076000
5680	3.184500
5690	3.154000
5700	3.123200
5710	3.134600
5720	3.051000
5730	3.134900
5740	3.189900
5750	3.097600
5760	3.102900
5770	3.126700
5780	3.143800
5790	3.146800
5800	3.121400
5810	3.101900
5820	3.168700
5830	3.063700
5840	3.128500
5850	3.111800
5860	3.017000
5870	3.109600
5880	3.161000
5890	3.153400
5900	3.076800
5910	3.231500
5920	3.073800
5930	3.190200
5940	3.081200
5950	3.044600
5960	3.119900
5970	3.154100
5980	3.140400
5990	3.153200
6000	3.144900
6010	3.148900
6020	3.176600
6030	3.117100
6040	3.086400
6050	3.130900
6060	3.166300
6070	3.071900
6080	3.223300
6090	3.098500
6100	3.108800
6110	3.087700
6120	3.108900
6130	3.128700
6140	3.121300
6150	3.191300
6160	3.179200
6170	3.040000
6180	3.106700
6190	3.121200
6200	3.133600
6210	3.091300
6220	3.142000
6230	3.202700
6240	3.104100
6250	3.069000
6260	2.980200
6270	3.019500
6280	3.006700
6290	2.990000
6300	3.002200
6310	2.970000
6320	2.989700
6330	3.058800
6340	2.984100
6350	3.003700
6360	3.027300
6370	2.837000
6380	2.969300
6390	2.968900
6400	2.925600
6410	2.958700
6420	3.022600
6430	2.981300
6440	2.965900
6450	2.943900
6460	2.937300
6470	2.991700
6480	2.907100
6490	3.002400
6500	2.978900
6510	2.975800
6520	2.937900
6530	3.018600
6540	2.939900
6550	2.998100
6560	2.960400
6570	3.027000
6580	2.959200
6590	2.971800
6600	2.926700
6610	2.934000
6620	2.934700
6630	2.953400
6640	2.943700
6650	2.903900
6660	2.937500
6670	2.957400
6680	2.974000
6690	2.964500
6700	2.991700
6710	3.015800
6720	2.907500
6730	2.938200
6740	2.982900
6750	2.969300
6760	2.962900
6770	3.040300
6780	2.976800
6790	2.958400
6800	2.998800
6810	2.972800
6820	2.959900
6830	2.951400
6840	2.960600
6850	3.010800
6860	3.018800
6870	2.953400
6880	2.997000
6890	2.939300
6900	2.987300
6910	2.945900
6920	2.983400
6930	2.951700
6940	3.016500
6950	2.937000
6960	3.018500
6970	3.004700
6980	2.990000
6990	2.987600
7000	2.998000
7010	2.977900
7020	3.056500
7030	2.961800
7040	2.947000
7050	3.024300
7060	3.004400
7070	2.924700
7080	3.058300
7090	3.008600
7100	3.000300
7110	2.983600
7120	2.928200
7130	2.973100
7140	2.915000
7150	3.015500
7160	3.019200
7170	2.997900
7180	2.942600
7190	2.961700
7200	2.958000
7210	2.925200
7220	2.931800
7230	2.927400
7240	2.990000
7250	3.054400
7260	3.018800
7270	2.959100
7280	3.009600
7290	3.048700
7300	2.957700
7310	2.899100
7320	2.967400
7330	2.936600
7340	2.947400
7350	2.981200
7360	2.976700
7370	3.023700
7380	2.945600
7390	3.002200
7400	3.117900
7410	3.007800
7420	3.000400
7430	2.988000
7440	3.005000
7450	2.950200
7460	3.006700
7470	3.063300
7480	3.000100
7490	2.984500
7500	2.980000
7510	3.018100
7520	2.985700
7530	2.888900
7540	2.919400
7550	2.998100
7560	3.019600
7570	2.962000
7580	2.908000
7590	3.023300
7600	2.946900
7610	3.051600
7620	2.946700
7630	3.025400
7640	2.901900
7650	2.970800
7660	2.921200
7670	2.967700
7680	2.992100
7690	3.015900
7700	3.056200
7710	2.989300
7720	3.023400
7730	3.001200
7740	2.945200
7750	3.043400
7760	3.030800
7770	2.965600
7780	2.952800
7790	3.070800
7800	2.941800
7810	2.970900
7820	3.010900
7830	3.014100
7840	2.978800
7850	2.984800
7860	2.949800
7870	2.935400
7880	2.922600
7890	2.932900
7900	2.982900
7910	2.989400
7920	2.998700
7930	2.915500
7940	2.949400
7950	2.938200
7960	2.948800
7970	3.003800
7980	3.007800
7990	2.991600
8000	2.895300
8010	3.054100
8020	3.037300
8030	3.015000
8040	2.976400
8050	3.042500
8060	3.058600
8070	2.952600
8080	3.018200
8090	3.051000
8100	3.019800
8110	2.958800
8120	2.983400
8130	2.958100
8140	2.918900
8150	2.967600
8160	2.889200
8170	2.922300
8180	3.060400
8190	3.010800
8200	2.956400
8210	3.008400
8220	2.976600
8230	2.961400
8240	2.987900
8250	2.973200
8260	2.977700
8270	2.965400
8280	2.969600
8290	2.983600
8300	2.979800
8310	2.951400
8320	3.000100
8330	3.007100
8340	2.887500
8350	2.951800
8360	2.913400
8370	2.968600
8380	3.015500
8390	2.978500
8400	2.954900
8410	2.897700
8420	2.958100
8430	2.968600
8440	2.981400
8450	2.921700
8460	2.984200
8470	2.998600
8480	2.952700
8490	2.974800
8500	2.951700
8510	2.931000
8520	2.968500
8530	2.943100
8540	2.962800
8550	2.967900
8560	2.936200
8570	2.996400
8580	2.950900
8590	3.095300
8600	3.019200
8610	2.951200
8620	2.934700
8630	2.992200
8640	2.961400
8650	2.977800
8660	3.132900
8670	3.053700
8680	3.002900
8690	3.021200
8700	3.015000
8710	3.045600
8720	3.028500
8730	2.944500
8740	2.958400
8750	2.932600
8760	3.002900
8770	2.985700
8780	3.027600
8790	2.985600
8800	3.050300
8810	2.968700
8820	3.045400
8830	2.942800
8840	3.052000
8850	2.986100
8860	2.961200
8870	2.988700
8880	2.966300
8890	3.044100
8900	2.968300
8910	2.977100
8920	2.974200
8930	3.029800
8940	2.947200
8950	2.890700
8960	2.878500
8970	3.011200
8980	2.938500
8990	2.971600
9000	2.973800
9010	3.002700
9020	3.027600
9030	3.018900
9040	3.035300
9050	2.939300
9060	2.946700
9070	3.034100
9080	2.961700
9090	3.008800
9100	2.959900
9110	2.998300
9120	2.924300
9130	2.930600
9140	2.922700
9150	2.947500
9160	2.967500
9170	2.916600
9180	2.968200
9190	2.992500
9200	3.005300
9210	3.011600
9220	2.973900
9230	2.989000
9240	3.018200
9250	2.920300
9260	3.027100
9270	2.948900
9280	2.958700
9290	3.018500
9300	3.009400
9310	2.975200
9320	3.038800
9330	3.028500
9340	2.980100
9350	2.950500
9360	2.975600
9370	2.944600